devicetimestamp,Serial,Count,FC,date
11/17/2020 14:18,33217172,1,1362,2020-11-17T14:18:21.000Z
11/17/2020 14:18,33217172,2,1362,2020-11-17T14:18:31.000Z
11/17/2020 14:18,33217172,3,1362,2020-11-17T14:18:35.000Z
11/17/2020 19:55,33217172,4,1362,2020-11-17T19:55:34.000Z
11/17/2020 19:55,33217172,4,1362,2020-11-17T19:55:35.000Z
11/17/2020 19:56,33217172,5,1362,2020-11-17T19:56:29.000Z
11/17/2020 19:56,33217172,6,1362,2020-11-17T19:56:35.000Z
11/17/2020 19:56,33217172,7,1362,2020-11-17T19:56:39.000Z
11/17/2020 19:56,33217172,8,1362,2020-11-17T19:56:55.000Z
11/17/2020 22:15,33217172,9,1362,2020-11-17T22:15:19.000Z
11/17/2020 22:15,33217172,10,1362,2020-11-17T22:15:27.000Z
11/17/2020 22:15,33217172,11,1362,2020-11-17T22:15:29.000Z
11/17/2020 22:15,33217172,12,1362,2020-11-17T22:15:31.000Z
11/17/2020 22:15,33217172,12,1362,2020-11-17T22:15:33.000Z
11/17/2020 22:15,33217172,13,1362,2020-11-17T22:15:36.000Z
11/17/2020 22:15,33217172,14,1362,2020-11-17T22:15:42.000Z
11/17/2020 22:15,33217172,15,1362,2020-11-17T22:15:51.000Z
11/17/2020 22:15,33217172,16,1362,2020-11-17T22:15:53.000Z
11/18/2020 2:31,33217172,17,1362,2020-11-18T02:31:03.000Z
11/18/2020 2:31,33217172,18,1362,2020-11-18T02:31:08.000Z
11/18/2020 2:31,33217172,19,1362,2020-11-18T02:31:11.000Z
11/18/2020 2:31,33217172,20,1362,2020-11-18T02:31:21.000Z
11/18/2020 2:31,33217172,21,1362,2020-11-18T02:31:23.000Z
11/18/2020 2:31,33217172,22,1362,2020-11-18T02:31:27.000Z
11/18/2020 2:31,33217172,23,1362,2020-11-18T02:31:29.000Z
11/18/2020 2:31,33217172,24,1362,2020-11-18T02:31:31.000Z
11/18/2020 2:31,33217172,25,1362,2020-11-18T02:31:37.000Z
11/18/2020 4:04,33217172,26,1362,2020-11-18T04:04:24.000Z
11/18/2020 4:04,33217172,27,1362,2020-11-18T04:04:33.000Z
11/18/2020 4:04,33217172,27,1362,2020-11-18T04:04:44.000Z
11/18/2020 4:04,33217172,28,1362,2020-11-18T04:04:47.000Z
11/18/2020 4:04,33217172,28,1362,2020-11-18T04:04:49.000Z
11/18/2020 4:04,33217172,29,1362,2020-11-18T04:04:50.000Z
11/18/2020 4:04,33217172,29,1362,2020-11-18T04:04:51.000Z
11/18/2020 4:04,33217172,30,1362,2020-11-18T04:04:52.000Z
11/18/2020 4:04,33217172,30,1362,2020-11-18T04:04:55.000Z
11/18/2020 4:05,33217172,31,1362,2020-11-18T04:05:08.000Z
11/18/2020 4:05,33217172,31,1362,2020-11-18T04:05:09.000Z
11/18/2020 4:05,33217172,32,1362,2020-11-18T04:05:10.000Z
11/18/2020 4:05,33217172,33,1362,2020-11-18T04:05:26.000Z
11/18/2020 4:05,33217172,34,1362,2020-11-18T04:05:36.000Z
11/18/2020 4:05,33217172,35,1362,2020-11-18T04:05:45.000Z
11/18/2020 5:45,33217172,36,1362,2020-11-18T05:45:54.000Z
11/18/2020 5:49,33217172,37,1362,2020-11-18T05:49:24.000Z
11/18/2020 5:49,33217172,38,1362,2020-11-18T05:49:42.000Z
11/18/2020 6:39,33217172,39,1362,2020-11-18T06:39:34.000Z
11/18/2020 6:39,33217172,40,1362,2020-11-18T06:39:46.000Z
11/18/2020 6:40,33217172,41,1362,2020-11-18T06:40:29.000Z
11/18/2020 6:41,33217172,42,1362,2020-11-18T06:41:19.000Z
11/18/2020 6:41,33217172,43,1362,2020-11-18T06:41:25.000Z
11/18/2020 6:41,33217172,44,1362,2020-11-18T06:41:33.000Z
11/18/2020 6:41,33217172,45,1362,2020-11-18T06:41:50.000Z
11/18/2020 6:41,33217172,46,1362,2020-11-18T06:41:54.000Z
11/18/2020 6:41,33217172,47,1362,2020-11-18T06:41:56.000Z
11/18/2020 6:42,33217172,47,1362,2020-11-18T06:42:05.000Z
11/18/2020 6:42,33217172,48,1362,2020-11-18T06:42:06.000Z
11/18/2020 6:42,33217172,49,1362,2020-11-18T06:42:10.000Z
11/18/2020 6:42,33217172,50,1362,2020-11-18T06:42:14.000Z
11/18/2020 6:42,33217172,51,1362,2020-11-18T06:42:20.000Z
11/18/2020 6:42,33217172,52,1362,2020-11-18T06:42:34.000Z
11/18/2020 6:42,33217172,53,1362,2020-11-18T06:42:36.000Z
11/18/2020 6:42,33217172,54,1362,2020-11-18T06:42:38.000Z
11/18/2020 6:42,33217172,55,1362,2020-11-18T06:42:40.000Z
11/18/2020 6:42,33217172,55,1362,2020-11-18T06:42:54.000Z
11/18/2020 6:42,33217172,56,1362,2020-11-18T06:42:55.000Z
11/18/2020 6:43,33217172,57,1362,2020-11-18T06:43:10.000Z
11/18/2020 6:43,33217172,58,1362,2020-11-18T06:43:13.000Z
11/18/2020 6:43,33217172,59,1362,2020-11-18T06:43:24.000Z
11/18/2020 6:43,33217172,60,1362,2020-11-18T06:43:29.000Z
11/18/2020 6:43,33217172,61,1362,2020-11-18T06:43:31.000Z
11/18/2020 6:43,33217172,62,1362,2020-11-18T06:43:33.000Z
11/18/2020 6:43,33217172,62,1362,2020-11-18T06:43:34.000Z
11/18/2020 6:43,33217172,63,1362,2020-11-18T06:43:35.000Z
11/18/2020 6:43,33217172,63,1362,2020-11-18T06:43:36.000Z
11/18/2020 6:43,33217172,64,1362,2020-11-18T06:43:37.000Z
11/18/2020 6:43,33217172,64,1362,2020-11-18T06:43:38.000Z
11/18/2020 6:43,33217172,65,1362,2020-11-18T06:43:39.000Z
11/18/2020 8:41,33217172,66,1362,2020-11-18T08:41:18.000Z
11/18/2020 8:46,33217172,67,1362,2020-11-18T08:46:00.000Z
11/18/2020 8:46,33217172,67,1362,2020-11-18T08:46:05.000Z
11/18/2020 8:47,33217172,68,1362,2020-11-18T08:47:08.000Z
11/18/2020 8:47,33217172,68,1362,2020-11-18T08:47:10.000Z
11/18/2020 8:48,33217172,69,1362,2020-11-18T08:48:35.000Z
11/18/2020 8:48,33217172,69,1362,2020-11-18T08:48:38.000Z
11/18/2020 8:48,33217172,70,1362,2020-11-18T08:48:39.000Z
11/18/2020 8:48,33217172,70,1362,2020-11-18T08:48:40.000Z
11/18/2020 8:48,33217172,71,1362,2020-11-18T08:48:47.000Z
11/18/2020 8:48,33217172,72,1362,2020-11-18T08:48:58.000Z
11/18/2020 8:48,33217172,72,1362,2020-11-18T08:48:59.000Z
11/18/2020 8:49,33217172,73,1362,2020-11-18T08:49:00.000Z
11/18/2020 8:49,33217172,74,1362,2020-11-18T08:49:06.000Z
11/18/2020 8:49,33217172,74,1362,2020-11-18T08:49:09.000Z
11/18/2020 8:49,33217172,75,1362,2020-11-18T08:49:10.000Z
11/18/2020 8:49,33217172,76,1362,2020-11-18T08:49:16.000Z
11/18/2020 8:49,33217172,76,1362,2020-11-18T08:49:20.000Z
11/18/2020 8:49,33217172,77,1362,2020-11-18T08:49:35.000Z
11/18/2020 8:49,33217172,77,1362,2020-11-18T08:49:36.000Z
11/18/2020 8:49,33217172,78,1362,2020-11-18T08:49:37.000Z
11/18/2020 8:49,33217172,78,1362,2020-11-18T08:49:39.000Z
11/18/2020 8:49,33217172,79,1362,2020-11-18T08:49:40.000Z
11/18/2020 8:49,33217172,79,1362,2020-11-18T08:49:42.000Z
11/18/2020 8:49,33217172,80,1362,2020-11-18T08:49:43.000Z
11/18/2020 8:49,33217172,80,1362,2020-11-18T08:49:44.000Z
11/18/2020 9:53,33217172,85,1362,2020-11-18T09:53:50.000Z
11/18/2020 9:54,33217172,86,1362,2020-11-18T09:54:00.000Z
11/18/2020 9:54,33217172,87,1362,2020-11-18T09:54:05.000Z
11/18/2020 9:54,33217172,88,1362,2020-11-18T09:54:08.000Z
11/18/2020 9:54,33217172,89,1362,2020-11-18T09:54:13.000Z
11/18/2020 9:54,33217172,90,1362,2020-11-18T09:54:17.000Z
11/18/2020 9:54,33217172,91,1362,2020-11-18T09:54:22.000Z
11/18/2020 9:54,33217172,92,1362,2020-11-18T09:54:24.000Z
11/18/2020 9:54,33217172,93,1362,2020-11-18T09:54:26.000Z
11/18/2020 9:54,33217172,94,1362,2020-11-18T09:54:34.000Z
11/18/2020 9:56,33217172,95,1362,2020-11-18T09:56:13.000Z
11/18/2020 9:56,33217172,96,1362,2020-11-18T09:56:20.000Z
11/18/2020 9:56,33217172,97,1362,2020-11-18T09:56:27.000Z
11/18/2020 9:56,33217172,98,1362,2020-11-18T09:56:31.000Z
11/18/2020 9:56,33217172,99,1362,2020-11-18T09:56:35.000Z
11/18/2020 9:56,33217172,100,1362,2020-11-18T09:56:38.000Z
11/18/2020 9:56,33217172,101,1362,2020-11-18T09:56:46.000Z
11/18/2020 9:56,33217172,102,1362,2020-11-18T09:56:51.000Z
11/18/2020 9:56,33217172,103,1362,2020-11-18T09:56:53.000Z
11/18/2020 9:57,33217172,104,1362,2020-11-18T09:57:14.000Z
11/18/2020 9:57,33217172,105,1362,2020-11-18T09:57:16.000Z
11/18/2020 9:57,33217172,106,1362,2020-11-18T09:57:24.000Z
11/18/2020 9:57,33217172,107,1362,2020-11-18T09:57:27.000Z
11/18/2020 9:57,33217172,108,1362,2020-11-18T09:57:34.000Z
11/18/2020 9:57,33217172,109,1362,2020-11-18T09:57:42.000Z
11/18/2020 9:58,33217172,110,1362,2020-11-18T09:58:00.000Z
11/18/2020 9:58,33217172,111,1362,2020-11-18T09:58:10.000Z
11/18/2020 9:58,33217172,111,1362,2020-11-18T09:58:11.000Z
11/18/2020 9:58,33217172,112,1362,2020-11-18T09:58:12.000Z
11/18/2020 9:58,33217172,113,1362,2020-11-18T09:58:15.000Z
11/18/2020 10:01,33217172,114,1362,2020-11-18T10:01:15.000Z
11/18/2020 10:01,33217172,115,1362,2020-11-18T10:01:25.000Z
11/18/2020 10:01,33217172,116,1362,2020-11-18T10:01:31.000Z
11/18/2020 10:01,33217172,117,1362,2020-11-18T10:01:34.000Z
11/18/2020 10:01,33217172,118,1362,2020-11-18T10:01:37.000Z
11/18/2020 10:01,33217172,119,1362,2020-11-18T10:01:40.000Z
11/18/2020 10:02,33217172,120,1362,2020-11-18T10:02:04.000Z
11/18/2020 10:02,33217172,121,1362,2020-11-18T10:02:07.000Z
11/18/2020 10:02,33217172,122,1362,2020-11-18T10:02:10.000Z
11/18/2020 10:02,33217172,123,1362,2020-11-18T10:02:13.000Z
11/18/2020 10:02,33217172,123,1362,2020-11-18T10:02:16.000Z
11/18/2020 10:02,33217172,124,1362,2020-11-18T10:02:17.000Z
11/18/2020 10:02,33217172,125,1362,2020-11-18T10:02:27.000Z
11/18/2020 10:02,33217172,126,1362,2020-11-18T10:02:51.000Z
11/18/2020 10:02,33217172,126,1362,2020-11-18T10:02:55.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:08.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:09.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:10.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:12.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:13.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:29.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:30.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:31.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:36.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:37.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:44.000Z
11/18/2020 10:03,33217172,126,1362,2020-11-18T10:03:54.000Z
11/18/2020 10:18,33217172,126,1362,2020-11-18T10:18:33.000Z
11/18/2020 10:18,33217172,126,1362,2020-11-18T10:18:48.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:12.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:29.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:35.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:40.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:44.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:49.000Z
11/18/2020 10:19,33217172,126,1362,2020-11-18T10:19:59.000Z
11/18/2020 10:20,33217172,126,1362,2020-11-18T10:20:09.000Z
11/18/2020 10:20,33217172,126,1362,2020-11-18T10:20:14.000Z
11/18/2020 10:20,33217172,126,1362,2020-11-18T10:20:23.000Z
11/18/2020 10:20,33217172,126,1362,2020-11-18T10:20:26.000Z
11/18/2020 10:20,33217172,126,1362,2020-11-18T10:20:55.000Z
11/18/2020 10:21,33217172,126,1362,2020-11-18T10:21:04.000Z
11/18/2020 10:21,33217172,126,1362,2020-11-18T10:21:13.000Z
11/18/2020 10:21,33217172,126,1362,2020-11-18T10:21:14.000Z
11/18/2020 10:21,33217172,126,1362,2020-11-18T10:21:35.000Z
11/18/2020 10:21,33217172,126,1362,2020-11-18T10:21:41.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:00.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:14.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:21.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:23.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:33.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:35.000Z
11/18/2020 10:22,33217172,126,1362,2020-11-18T10:22:52.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:00.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:03.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:15.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:17.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:20.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:24.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:27.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:35.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:39.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:40.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:42.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:49.000Z
11/18/2020 10:23,33217172,126,1362,2020-11-18T10:23:52.000Z
11/18/2020 10:56,33217172,126,1362,2020-11-18T10:56:49.000Z
11/18/2020 11:06,33217172,126,1362,2020-11-18T11:06:24.000Z
11/18/2020 12:21,33217172,126,1362,2020-11-18T12:21:03.000Z
11/18/2020 12:21,33217172,126,1362,2020-11-18T12:21:05.000Z
11/18/2020 12:21,33217172,126,1362,2020-11-18T12:21:14.000Z
11/18/2020 12:21,33217172,126,1362,2020-11-18T12:21:47.000Z
11/18/2020 12:22,33217172,126,1362,2020-11-18T12:22:35.000Z
11/18/2020 12:23,33217172,126,1362,2020-11-18T12:23:45.000Z
11/18/2020 12:23,33217172,126,1362,2020-11-18T12:23:47.000Z
11/18/2020 12:24,33217172,126,1362,2020-11-18T12:24:36.000Z
11/18/2020 12:24,33217172,126,1362,2020-11-18T12:24:41.000Z
11/18/2020 12:24,33217172,126,1362,2020-11-18T12:24:56.000Z
11/18/2020 12:25,33217172,126,1362,2020-11-18T12:25:11.000Z
11/18/2020 12:25,33217172,126,1362,2020-11-18T12:25:27.000Z
11/18/2020 12:25,33217172,126,1362,2020-11-18T12:25:29.000Z
11/18/2020 12:25,33217172,126,1362,2020-11-18T12:25:40.000Z
11/18/2020 12:25,33217172,126,1362,2020-11-18T12:25:53.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:00.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:01.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:10.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:21.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:26.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:29.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:32.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:35.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:37.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:38.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:47.000Z
11/18/2020 12:26,33217172,126,1362,2020-11-18T12:26:57.000Z
11/18/2020 12:27,33217172,126,1362,2020-11-18T12:27:00.000Z
11/18/2020 12:27,33217172,126,1362,2020-11-18T12:27:02.000Z
11/18/2020 12:27,33217172,126,1362,2020-11-18T12:27:07.000Z
